area_type,location,total_sqft,bath,balcony,price,bhk,price_per_sqft,total_rooms
Super built-up  Area,Electronic City Phase II,1056.0,2.0,1.0,39.07,2.0,3699.810606060606,4.0
Plot  Area,Chikka Tirupathi,2600.0,5.0,3.0,120.0,4.0,4615.384615384615,9.0
Built-up  Area,Uttarahalli,1440.0,2.0,3.0,62.0,3.0,4305.555555555556,5.0
Super built-up  Area,Lingadheeranahalli,1521.0,3.0,1.0,95.0,3.0,6245.890861275477,6.0
Super built-up  Area,Kothanur,1200.0,2.0,1.0,51.0,2.0,4250.0,4.0
Super built-up  Area,Whitefield,1170.0,2.0,1.0,38.0,2.0,3247.863247863248,4.0
Super built-up  Area,Old Airport Road,2732.0,4.0,2.0,204.0,4.0,7467.0571010248905,8.0
Super built-up  Area,Rajaji Nagar,3300.0,4.0,2.0,600.0,4.0,18181.81818181818,8.0
Super built-up  Area,Marathahalli,1310.0,3.0,1.0,63.25,3.0,4828.244274809161,6.0
Super built-up  Area,Whitefield,1800.0,2.0,2.0,70.0,3.0,3888.8888888888887,5.0
Plot  Area,Whitefield,2785.0,5.0,3.0,295.0,4.0,10592.45960502693,9.0
Super built-up  Area,7th Phase JP Nagar,1000.0,2.0,1.0,38.0,2.0,3800.0,4.0
Built-up  Area,Gottigere,1100.0,2.0,2.0,40.0,2.0,3636.3636363636365,4.0
Plot  Area,Sarjapur,2250.0,3.0,2.0,148.0,3.0,6577.777777777777,6.0
Super built-up  Area,Mysore Road,1175.0,2.0,2.0,73.5,2.0,6255.31914893617,4.0
Super built-up  Area,Bisuvanahalli,1180.0,3.0,2.0,48.0,3.0,4067.7966101694915,6.0
Super built-up  Area,Raja Rajeshwari Nagar,1540.0,3.0,3.0,60.0,3.0,3896.103896103896,6.0
Super built-up  Area,Other,2770.0,4.0,2.0,290.0,3.0,10469.314079422382,7.0
Super built-up  Area,Other,1100.0,2.0,2.0,48.0,2.0,4363.636363636364,4.0
Built-up  Area,Kengeri,600.0,1.0,1.0,15.0,1.0,2500.0,2.0
Super built-up  Area,Binny Pete,1755.0,3.0,1.0,122.0,3.0,6951.5669515669515,6.0
Plot  Area,Thanisandra,2800.0,5.0,2.0,380.0,4.0,13571.42857142857,9.0
Super built-up  Area,Bellandur,1767.0,3.0,1.0,103.0,3.0,5829.088851160159,6.0
Super built-up  Area,Thanisandra,510.0,1.0,0.0,25.25,1.0,4950.980392156863,2.0
Super built-up  Area,Other,1250.0,3.0,2.0,56.0,3.0,4480.0,6.0
Super built-up  Area,Electronic City,660.0,1.0,1.0,23.1,2.0,3500.0,3.0
Built-up  Area,Whitefield,1610.0,3.0,2.0,81.0,3.0,5031.055900621118,6.0
Super built-up  Area,Ramagondanahalli,1151.0,2.0,2.0,48.77,2.0,4237.185056472633,4.0
Super built-up  Area,Electronic City,1025.0,2.0,1.0,47.0,3.0,4585.365853658536,5.0
Super built-up  Area,Yelahanka,2475.0,4.0,0.0,186.0,4.0,7515.151515151515,8.0
Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,35.0,3.0,3255.813953488372,5.0
Super built-up  Area,Hebbal,1760.0,2.0,2.0,123.0,3.0,6988.636363636364,5.0
Super built-up  Area,Raja Rajeshwari Nagar,1693.0,3.0,3.0,57.39,3.0,3389.84051978736,6.0
Built-up  Area,Kasturi Nagar,1925.0,3.0,2.0,125.0,3.0,6493.506493506494,6.0
Super built-up  Area,Kanakpura Road,700.0,2.0,1.0,36.0,2.0,5142.857142857143,4.0
Super built-up  Area,Electronics City Phase 1,1070.0,2.0,1.0,45.5,2.0,4252.336448598131,4.0
Super built-up  Area,Kundalahalli,1724.0,3.0,2.0,125.0,3.0,7250.580046403712,6.0
